Doctor_Name,specialization,avg_rate,clinic_location,Category,general_location,Unnamed: 0,latitude_exact,longitude_exact,latitude_general,longitude_general,latitude,longitude
Firas Hussein,Psychiatrist,4.5,Faisal,Neurological and Psychiatric,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Rami Taha,Internist,4.5,"Mahalla , Talaat Harb street",Others,"Mahalla , Talaat Harb street",,,,,,,
Aya Ibrahim,Gynecologist,4.5,Faisal street,Urinary and Reproductive,Faisal street,107.0,31.5587847,74.289134,,,31.5587847,74.289134
Amr Farouk,Psychiatrist,4.5,Mahalla,Neurological and Psychiatric,Mahalla,108.0,40.0155864,64.7677952,40.0155864,64.7677952,40.0155864,64.7677952
Noha El-Baz,General Surgeon,5.0,"El-Agamy , Goweida moftah street",Musculoskeletal,"El-Agamy , Goweida moftah street",,,,,,,
Noha Salah,Internist,4.758470894874023,El-Dokki,Others,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Ahmed Hassan,Dermatologist,4.5,"Aga , elgalaa street",Skin,"Aga , elgalaa street",,,,,,,
Yasmin Mansour,Physiotherapist,4.758470894874023,"Heliopolis , Elmontazah St from ElHegaz St",Musculoskeletal,"Heliopolis , Elmontazah St from ElHegaz St",,,,,,,
Mona El-Gohary,Dentist,4.5,Maadi Ring Road,Others,Maadi Ring Road,111.0,29.9934593,31.3850161,,,29.9934593,31.3850161
Mariam El-Sayed,Gynecologist,5.0,"Hadayek El-Ahram , z",Urinary and Reproductive,"Hadayek El-Ahram , z",,,,,,,
Ahmed El-Gendy,Cardiologist,4.758470894874023,El-Dokki,Cardiovascular,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Hassan El-Shazly,Orthopedist,5.0,"El-Giza , Hamadan",Musculoskeletal,"El-Giza , Hamadan",,,,,,,
Nour El-Gohary,Internist,4.5,"6th of October , al mehwar al markzi",Others,"6th of October , al mehwar al markzi",,,,,,,
Fady El-Shazly,Dentist,4.5,Nasr City,Others,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Sami Farouk,Internist,4.0,06-Oct,Others,06-Oct,68.0,22.5369227,113.9779003,,,22.5369227,113.9779003
Omar El-Kassas,Pediatrician,4.5,Heliopolis,Others,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Sami Saeed,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Jamal Mahmoud,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Zein Khalil,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Ali Zaki,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Rania El-Saied,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Youssef Samir,General Surgeon,4.5,Helwan,Musculoskeletal,Helwan,77.0,29.8500001,31.333333,29.8500001,31.333333,29.8500001,31.333333
Noha Farouk,Gynecologist,4.5,Faisal street,Urinary and Reproductive,Faisal street,107.0,31.5587847,74.289134,,,31.5587847,74.289134
Mostafa Shalaby,Internist,4.5,"Mahalla , Talaat Harb street",Others,"Mahalla , Talaat Harb street",,,,,,,
Mostafa Fathy,Psychiatrist,4.5,Mahalla,Neurological and Psychiatric,Mahalla,108.0,40.0155864,64.7677952,40.0155864,64.7677952,40.0155864,64.7677952
Bassam El-Amin,Internist,4.5,El-Ibrahimia,Others,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Rania Saeed,Ophthalmologist,5.0,"El-Zagazig , tolba eweda street infront of salah salem hospital above lcwikiki","Eye, Ear and Nose","El-Zagazig , tolba eweda street infront of salah salem hospital above lcwikiki",,,,,,,
Reem Ibrahim,Pediatrician,4.5,Alharam street,Others,Alharam street,70.0,15.2855885,44.2258985,,,15.2855885,44.2258985
Amr El-Masry,Internist,4.758470894874023,El-Dokki,Others,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Rami El-Naggar,Gynecologist,4.5,Heliopolis,Urinary and Reproductive,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Noha El-Sayed,Internist,4.5,"Heliopolis , -behind Miliatry College",Others,"Heliopolis , -behind Miliatry College",,,,,,,
Nadia Abdelrahman,Dermatologist,4.5,"Aga , elgalaa street",Skin,"Aga , elgalaa street",,,,,,,
Dina Mansour,Physiotherapist,4.758470894874023,"Heliopolis , Elmontazah St from ElHegaz St",Musculoskeletal,"Heliopolis , Elmontazah St from ElHegaz St",,,,,,,
Mahmoud El-Khatib,Dentist,4.5,Maadi Ring Road,Others,Maadi Ring Road,111.0,29.9934593,31.3850161,,,29.9934593,31.3850161
Hani Hussein,Gynecologist,5.0,"Hadayek El-Ahram , z",Urinary and Reproductive,"Hadayek El-Ahram , z",,,,,,,
Mahmoud Youssef,Cardiologist,4.758470894874023,El-Dokki,Cardiovascular,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Fady El-Kassas,Orthopedist,5.0,"El-Giza , Hamadan",Musculoskeletal,"El-Giza , Hamadan",,,,,,,
Rami El-Din,Internist,4.5,"6th of October , al mehwar al markzi",Others,"6th of October , al mehwar al markzi",,,,,,,
Walid Zaki,Pediatrician,4.5,Heliopolis,Others,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Firas Gaber,Dentist,4.5,"El-Dokki , Musadak Street-Infront Of Dunkin Donuts",Others,"El-Dokki , Musadak Street-Infront Of Dunkin Donuts",,,,,,,
Aya Mahmoud,Urologist,5.0,"Nasr City , Mostafa elnhas St",Urinary and Reproductive,"Nasr City , Mostafa elnhas St",,,,,,,
Fatma Shalaby,Gynecologist,5.0,"El-Maadi , 9th St.",Urinary and Reproductive,"El-Maadi , 9th St.",,,,,,,
Salma Abdallah,Dentist,4.5,Nasr City,Others,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Heba Mahmoud,Internist,4.0,06-Oct,Others,06-Oct,68.0,22.5369227,113.9779003,,,22.5369227,113.9779003
Mostafa Mostafa,Surgical Oncologist,4.0,"El-Mokattam , 9 street",Gastrointestinal and Liver,"El-Mokattam , 9 street",,,,,,,
Sami El-Hadidy,Cardiologist,5.0,"El-Mohandessin , Alfawakh St",Cardiovascular,"El-Mohandessin , Alfawakh St",,,,,,,
Ibrahim Khalil,Pediatrician,5.0,6th of October,Others,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Youssef Youssef,Oncologist,5.0,"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",Others,"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",,,,,,,
Sara Gaber,Nutritionist,5.0,"Hadayek El-Ahram , first entrance of first gate",Others,"Hadayek El-Ahram , first entrance of first gate",,,,,,,
Mohamed Fahmy,Dentist,4.5,"Hadayek El-Ahram , El Geish street",Others,"Hadayek El-Ahram , El Geish street",,,,,,,
Yasmin Mahmoud,Dermatologist,4.5,"El-Maadi , Al Nasr St. - Gazaer Square",Skin,"El-Maadi , Al Nasr St. - Gazaer Square",,,,,,,
Reem Hussein,Dentist,4.5,El-Mokattam,Others,El-Mokattam,27.0,30.0221089,31.2683682,30.0221089,31.2683682,30.0221089,31.2683682
Ibrahim El-Amin,Dentist,4.5,"El-Mokattam , Behinde pharmacy college MTI, AlHdba AlWosta",Others,"El-Mokattam , Behinde pharmacy college MTI, AlHdba AlWosta",,,,,,,
Yasmin Ibrahim,Orthopedist,4.5,El-Rehab,Musculoskeletal,El-Rehab,126.0,30.063584,31.4889939,30.063584,31.4889939,30.063584,31.4889939
Firas Kamel,Surgical Oncologist,4.0,"El-Mokattam , 9 street",Gastrointestinal and Liver,"El-Mokattam , 9 street",,,,,,,
Ahmed Hussein,Hepatologist,4.5,"Heliopolis , botrous ghaly street",Gastrointestinal and Liver,"Heliopolis , botrous ghaly street",,,,,,,
Youssef El-Din,Dermatologist,4.5,Hadayek El-Ahram,Skin,Hadayek El-Ahram,24.0,29.9699896,31.0973269,29.9699896,31.0973269,29.9699896,31.0973269
Salim Gaber,Dermatologist,4.5,Hadayek El-Ahram,Skin,Hadayek El-Ahram,24.0,29.9699896,31.0973269,29.9699896,31.0973269,29.9699896,31.0973269
Youssef El-Sayed,General Surgeon,4.5,"6th of October , Borie Plaza 1-Elhossary Square",Musculoskeletal,"6th of October , Borie Plaza 1-Elhossary Square",,,,,,,
Ibrahim El-Kholy,Internist,4.5,"Imbaba , Elwahda street",Others,"Imbaba , Elwahda street",,,,,,,
Youssef El-Masry,Urologist,4.5,Fifth Settlement Medical Center,Urinary and Reproductive,Fifth Settlement Medical Center,,,,,,,
Mohamed El-Baz,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Mona El-Shennawy,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Walid Abdelrahman,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Salma Gaber,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Sami Mostafa,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Nader Farouk,Cardiologist,5.0,"El-Mohandessin , Alfawakh St",Cardiovascular,"El-Mohandessin , Alfawakh St",,,,,,,
Rania El-Naggar,Dentist,4.5,"Hadayek El-Ahram , El Geish street",Others,"Hadayek El-Ahram , El Geish street",,,,,,,
Mahmoud El-Kassas,Dentist,4.5,"El-Haram , Haram",Others,"El-Haram , Haram",,,,,,,
Walid El-Baz,Dentist,5.0,"El-Zaitoun , Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket",Others,"El-Zaitoun , Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket",,,,,,,
Mostafa El-Sherif,Neurosurgeon,4.758470894874023,"Nasr City , ahmad elzumor",Neurological and Psychiatric,"Nasr City , ahmad elzumor",,,,,,,
Amira Nasser,Infertility Specialist,4.5,El-Mokattam,Urinary and Reproductive,El-Mokattam,27.0,30.0221089,31.2683682,30.0221089,31.2683682,30.0221089,31.2683682
Amira Khalil,Orthopedist,5.0,El-Mohandessin,Musculoskeletal,El-Mohandessin,133.0,30.0583951,31.2020231,30.0583951,31.2020231,30.0583951,31.2020231
Rania Kamel,Gynecologist,5.0,151 Street - Horreya Square,Urinary and Reproductive,151 Street - Horreya Square,,,,,,,
Sami Shalaby,Nutritionist,5.0,"Hadayek El-Ahram , first entrance of first gate",Others,"Hadayek El-Ahram , first entrance of first gate",,,,,,,
Bassam El-Din,Ophthalmologist,4.0,"Shibin El-Kom , hakma square","Eye, Ear and Nose","Shibin El-Kom , hakma square",,,,,,,
Laila El-Khatib,Oncologist,5.0,"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",Others,"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",,,,,,,
Tamer El-Shazly,Dentist,4.758470894874023,north Teseen ST,Others,north Teseen ST,,,,,,,
Ali El-Khatib,General Surgeon,4.5,06-Oct,Musculoskeletal,06-Oct,68.0,22.5369227,113.9779003,,,22.5369227,113.9779003
Zein El-Amin,Dentist,4.758470894874023,El-Maadi,Others,El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Fatma Abdelrahman,Urologist,4.5,"El-Zagazig , obour bridge next to sawaf restaurant",Urinary and Reproductive,"El-Zagazig , obour bridge next to sawaf restaurant",,,,,,,
Nour Ibrahim,Physiotherapist,5.0,El-Obour City,Musculoskeletal,El-Obour City,138.0,30.1914,31.450548,30.1914,31.450548,30.1914,31.450548
Dina El-Hadidy,Physiotherapist,5.0,El-Rehab,Musculoskeletal,El-Rehab,126.0,30.063584,31.4889939,30.063584,31.4889939,30.063584,31.4889939
Dina Hassan,ENT Doctor,5.0,"6th of October , Central Axis","Eye, Ear and Nose","6th of October , Central Axis",,,,,,,
Heba El-Shennawy,Dentist,5.0,Imbaba,Others,Imbaba,140.0,14.5618548,0.8720522,14.5618548,0.8720522,14.5618548,0.8720522
Omar El-Sherif,Cardiologist,5.0,El-Maadi,Cardiovascular,El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Bassam Fahmy,Neurologist,4.5,Shibin El-Kom,Neurological and Psychiatric,Shibin El-Kom,141.0,30.5545106,31.0097923,30.5545106,31.0097923,30.5545106,31.0097923
Hassan Hassan,Gynecologist,5.0,"Banha , 5 ibn Hagag street",Urinary and Reproductive,"Banha , 5 ibn Hagag street",,,,,,,
Youssef Mahmoud,Pediatrician,5.0,"El-Mansoura , 6 october street branched from ahmed maher street",Others,"El-Mansoura , 6 october street branched from ahmed maher street",,,,,,,
Laila El-Baz,General Surgeon,4.5,Nasr City,Musculoskeletal,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Sara Hussein,Neurologist,4.5,"Nasr City , AbdElhamid awad",Neurological and Psychiatric,"Nasr City , AbdElhamid awad",,,,,,,
Hassan El-Gohary,Urologist,4.5,"El-Maadi , Elnasr Street",Urinary and Reproductive,"El-Maadi , Elnasr Street",,,,,,,
Sami El-Shazly,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Tamer El-Sherbiny,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Bassam Samir,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Zein El-Gohary,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Fatma El-Kassas,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Khaled Mostafa,Cardiologist,5.0,"West El-Balad , el tahreer street",Cardiovascular,"West El-Balad , el tahreer street",,,,,,,
Rami Gaber,Pediatrician,5.0,El-Badrashin,Others,El-Badrashin,147.0,29.8531211,31.2780759,29.8531211,31.2780759,29.8531211,31.2780759
Tamer Zaki,Gastroenterologist,5.0,"Faisal , Elatabaa Building Fasil Elnadii St",Gastrointestinal and Liver,"Faisal , Elatabaa Building Fasil Elnadii St",,,,,,,
Bassam El-Sherbiny,Andrologist,5.0,El-Mansoura,Urinary and Reproductive,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Heba El-Hadidy,Orthopedist,5.0,El-Zagazig,Musculoskeletal,El-Zagazig,51.0,30.5950402,31.5125611,30.5886074,31.4819297,30.5950402,31.5125611
Sami El-Amin,ENT Doctor,5.0,"El-Mansoura , el mahta square","Eye, Ear and Nose","El-Mansoura , el mahta square",,,,,,,
Youssef El-Naggar,ENT Doctor,5.0,"Faisal , khaled ibn waleed st","Eye, Ear and Nose","Faisal , khaled ibn waleed st",,,,,,,
Fatma El-Hadidy,Physiotherapist,5.0,El-Rehab,Musculoskeletal,El-Rehab,126.0,30.063584,31.4889939,30.063584,31.4889939,30.063584,31.4889939
Reem Mostafa,Urologist,4.5,"El-Zagazig , obour bridge next to sawaf restaurant",Urinary and Reproductive,"El-Zagazig , obour bridge next to sawaf restaurant",,,,,,,
Hassan El-Sayed,Gynecologist,5.0,"Nasr City , mostafa elnahas",Urinary and Reproductive,"Nasr City , mostafa elnahas",,,,,,,
Omar El-Gohary,ENT Doctor,5.0,"6th of October , Central Axis","Eye, Ear and Nose","6th of October , Central Axis",,,,,,,
Noha El-Hadidy,Dentist,5.0,Imbaba,Others,Imbaba,140.0,14.5618548,0.8720522,14.5618548,0.8720522,14.5618548,0.8720522
Ahmed El-Sherif,Cardiologist,5.0,El-Maadi,Cardiovascular,El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Firas Samir,Neurologist,4.5,Shibin El-Kom,Neurological and Psychiatric,Shibin El-Kom,141.0,30.5545106,31.0097923,30.5545106,31.0097923,30.5545106,31.0097923
Sami Mahmoud,Pediatrician,5.0,"El-Mansoura , 6 october street branched from ahmed maher street",Others,"El-Mansoura , 6 october street branched from ahmed maher street",,,,,,,
Amr Khalil,General Surgeon,4.5,Nasr City,Musculoskeletal,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Laila El-Sherbiny,Gynecologist,5.0,"Banha , 5 ibn Hagag street",Urinary and Reproductive,"Banha , 5 ibn Hagag street",,,,,,,
Rami Hassan,Dentist,5.0,6th of October,Others,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Rania El-Din,Dentist,4.5,"Heliopolis , Al Hegaz - Heliopolis Square.",Others,"Heliopolis , Al Hegaz - Heliopolis Square.",,,,,,,
Mahmoud El-Mahdy,Orthopedist,5.0,"El-Manyal , manyal street",Musculoskeletal,"El-Manyal , manyal street",,,,,,,
Jamal Kamel,Pediatrician,4.5,Nasr City,Others,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Walid El-Sayed,Endocrinologist,4.5,north teseen street,Others,north teseen street,,,,,,,
Amr Shalaby,Neurosurgeon,5.0,"El-Maadi , Sakr Quraysh, Al Bahs Al Genaea",Neurological and Psychiatric,"El-Maadi , Sakr Quraysh, Al Bahs Al Genaea",,,,,,,
Aya Taha,Cardiologist,5.0,Heliopolis,Cardiovascular,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Ahmed Mahmoud,Surgical Oncologist,5.0,"El-Giza , mourad",Gastrointestinal and Liver,"El-Giza , mourad",,,,,,,
Aya El-Gendy,ENT Doctor,4.5,6th of October,"Eye, Ear and Nose",6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Adel El-Gohary,Neurosurgeon,5.0,6th of October,Neurological and Psychiatric,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Heba Youssef,Cardiologist,4.5,Janaklees,Cardiovascular,Janaklees,,,,,,,
Nader El-Baz,Dentist,4.5,"El-Manyal , Almanial main Street",Others,"El-Manyal , Almanial main Street",,,,,,,
Walid Mansour,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Reem El-Masry,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Rania El-Shennawy,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Khaled El-Mahdy,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Tamer El-Kholy,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Fady Mostafa,ENT Doctor,5.0,"El-Mansoura , el mahta square","Eye, Ear and Nose","El-Mansoura , el mahta square",,,,,,,
Ibrahim Ibrahim,Ophthalmologist,5.0,"El-Fayoum city , elmsla next to misr for insurance building next to city tower","Eye, Ear and Nose","El-Fayoum city , elmsla next to misr for insurance building next to city tower",,,,,,,
Omar El-Gendy,General Surgeon,4.5,"Shibin El-Kom , sharaf square dewan tower",Musculoskeletal,"Shibin El-Kom , sharaf square dewan tower",,,,,,,
Amira Mansour,Gynecologist,5.0,El-Shorouk,Urinary and Reproductive,El-Shorouk,161.0,26.1216587,34.2553483,26.1216587,34.2553483,26.1216587,34.2553483
Noha El-Sherif,Physiotherapist,5.0,"Banha , behind mohafza",Musculoskeletal,"Banha , behind mohafza",,,,,,,
Walid Abdallah,Obesity Surgeon,5.0,Shibin El-Kom,Urinary and Reproductive,Shibin El-Kom,141.0,30.5545106,31.0097923,30.5545106,31.0097923,30.5545106,31.0097923
Mona Abdelrahman,Neurosurgeon,5.0,6th of October,Neurological and Psychiatric,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Omar El-Mahdy,General Surgeon,5.0,"El-Zagazig , tolba eweda street",Musculoskeletal,"El-Zagazig , tolba eweda street",,,,,,,
Omar Fathy,Rheumatologist,4.0,"El-Sayeda Zainab , Port Saeed Street",Musculoskeletal,"El-Sayeda Zainab , Port Saeed Street",,,,,,,
Amira El-Shennawy,Dermatologist,4.5,"West El-Balad , Mohamed farid - Abdein",Skin,"West El-Balad , Mohamed farid - Abdein",,,,,,,
Rania Taha,Neurosurgeon,5.0,"El-Maadi , Sakr Quraysh, Al Bahs Al Genaea",Neurological and Psychiatric,"El-Maadi , Sakr Quraysh, Al Bahs Al Genaea",,,,,,,
Mariam El-Shazly,Cardiologist,4.5,Janaklees,Cardiovascular,Janaklees,,,,,,,
Noha Mostafa,Dentist,4.5,"El-Manyal , Almanial main Street",Others,"El-Manyal , Almanial main Street",,,,,,,
Amr Abdelrahman,Internist,4.5,"El-Mansoura , kanat el swiss st",Others,"El-Mansoura , kanat el swiss st",,,,,,,
Omar El-Shennawy,Dentist,5.0,Faisal,Others,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Salma El-Sayed,Ophthalmologist,5.0,"Heliopolis , hegaz street","Eye, Ear and Nose","Heliopolis , hegaz street",,,,,,,
Ali Mahmoud,Dermatologist,4.5,"10th of Ramadan , Ordinia St.",Skin,"10th of Ramadan , Ordinia St.",,,,,,,
Tamer Khalil,ENT Doctor,4.5,6th of October,"Eye, Ear and Nose",6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Youssef Khalil,Cardiologist,5.0,Maadi Ring Road,Cardiovascular,Maadi Ring Road,111.0,29.9934593,31.3850161,,,29.9934593,31.3850161
Yasmin El-Masry,Gynecologist,4.5,El-Maadi,Urinary and Reproductive,El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Youssef Abdallah,Ophthalmologist,5.0,"Nasr City , Mohamed Radwan ST _ Al Hay Al Asher","Eye, Ear and Nose","Nasr City , Mohamed Radwan ST _ Al Hay Al Asher",,,,,,,
Sami Hassan,Dentist,5.0,Heliopolis,Others,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Laila Mansour,General Surgeon,4.5,Shibin El-Kom,Musculoskeletal,Shibin El-Kom,141.0,30.5545106,31.0097923,30.5545106,31.0097923,30.5545106,31.0097923
Mostafa Ibrahim,Endocrinologist,4.5,north teseen street,Others,north teseen street,,,,,,,
Amira Salah,Pediatrician,4.5,Nasr City,Others,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Sami El-Baz,Surgical Oncologist,5.0,"El-Giza , mourad",Gastrointestinal and Liver,"El-Giza , mourad",,,,,,,
Amira El-Din,Cardiologist,5.0,6th of October,Cardiovascular,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Yasmin Shalaby,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Omar Hassan,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Ali Mostafa,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Dina El-Masry,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Firas Saeed,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Reem El-Mahdy,Gynecologist,4.5,"New Cairo , abdallah ibn salama",Urinary and Reproductive,"New Cairo , abdallah ibn salama",,,,,,,
Salma El-Sherif,Pediatrician,4.5,Miamy,Others,Miamy,35.0,-23.4461564,-51.8861956,-23.4461564,-51.8861956,-23.4461564,-51.8861956
Mona Mostafa,Orthopedist,4.5,"El-Maadi ,  ElNasr",Musculoskeletal,"El-Maadi ,  ElNasr",,,,,,,
Adel Hussein,Cardiologist,4.5,"El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi",Cardiovascular,"El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi",,,,,,,
Mahmoud El-Masry,Cardiologist,5.0,"El-Maadi , 4 street 100 from street 105 - Horria sq Maadi",Cardiovascular,"El-Maadi , 4 street 100 from street 105 - Horria sq Maadi",,,,,,,
Mona Fahmy,Dermatologist,4.5,"Faisal , king Faisal St -tamimi",Skin,"Faisal , king Faisal St -tamimi",,,,,,,
Sami Kamel,General Surgeon,4.5,"Bakos , Moastafa kamel",Musculoskeletal,"Bakos , Moastafa kamel",,,,,,,
Salim Zaki,Orthopedist,4.5,El-Haram,Musculoskeletal,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Rami El-Kassas,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Mostafa El-Kholy,ENT Doctor,4.5,"Heliopolis , Triumph square (Nakhla moteey)","Eye, Ear and Nose","Heliopolis , Triumph square (Nakhla moteey)",,,,,,,
Fady Hussein,Pulmonologist,4.5,"El-Matareya , Beet El Ezz 2 building - Matareya square - Building A - Third floor",Respiratory,"El-Matareya , Beet El Ezz 2 building - Matareya square - Building A - Third floor",,,,,,,
Heba Taha,Psychiatrist,4.0,"Heliopolis , Esmail Ramzy Street",Neurological and Psychiatric,"Heliopolis , Esmail Ramzy Street",,,,,,,
Nadia Saeed,Dermatologist,4.5,"El-Manyal , Manial",Skin,"El-Manyal , Manial",,,,,,,
Youssef El-Kholy,Urologist,4.5,"El-Zaitoun , salim el-Awal st.",Urinary and Reproductive,"El-Zaitoun , salim el-Awal st.",,,,,,,
Ahmed Abdallah,Allergist,4.5,"Faisal , king faisal street",Skin,"Faisal , king faisal street",,,,,,,
Heba El-Masry,Cardiologist,4.5,"El-Mohandessin , Omar Toson",Cardiovascular,"El-Mohandessin , Omar Toson",,,,,,,
Reem El-Khatib,Gynecologist,4.5,"El-Obour City , Al Obour center",Urinary and Reproductive,"El-Obour City , Al Obour center",,,,,,,
